8.219.153.237,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,84,10.25
8.219.220.88,2087,2087,TRUE,SIN,Asia Pacific,Singapore,106,10.25
8.219.84.214,2096,2096,TRUE,SIN,Asia Pacific,Singapore,98,10.24
8.219.104.242,2095,2095,FALSE,SIN,Asia Pacific,Singapore,11,10.24
8.219.229.190,2053,2053,TRUE,SIN,Asia Pacific,Singapore,93,10.24
8.222.193.65,443,443,TRUE,SIN,Asia Pacific,Singapore,94,10.24
8.222.193.65,8080,8080,FALSE,SIN,Asia Pacific,Singapore,8,10.23
8.219.122.55,8443,8443,TRUE,SIN,Asia Pacific,Singapore,30,10.23
8.219.113.232,2095,2095,FALSE,SIN,Asia Pacific,Singapore,24,10.23
8.219.93.5,2087,2087,TRUE,SIN,Asia Pacific,Singapore,74,10.22
8.219.163.195,8080,8080,FALSE,SIN,Asia Pacific,Singapore,14,10.22
8.218.3.12,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,37,10.22
8.219.140.63,2095,2095,FALSE,SIN,Asia Pacific,Singapore,15,10.22
8.222.187.4,8880,8880,FALSE,SIN,Asia Pacific,Singapore,16,10.21
8.219.152.195,2087,2087,TRUE,SIN,Asia Pacific,Singapore,109,10.2
8.219.102.252,8443,8443,TRUE,SIN,Asia Pacific,Singapore,88,10.19
8.219.78.1,8443,8443,TRUE,SIN,Asia Pacific,Singapore,89,10.18
8.219.156.148,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,10.18
8.219.98.13,2083,2083,TRUE,SIN,Asia Pacific,Singapore,145,10.18
8.219.186.189,443,443,TRUE,SIN,Asia Pacific,Singapore,49,10.18
8.219.103.57,8443,8443,TRUE,SIN,Asia Pacific,Singapore,114,10.18
8.219.101.72,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,10.17
8.222.226.15,2096,2096,TRUE,SIN,Asia Pacific,Singapore,32,10.17
8.219.114.201,8880,8880,FALSE,SIN,Asia Pacific,Singapore,47,10.16
47.236.169.164,2096,2096,TRUE,SIN,Asia Pacific,Singapore,50,10.16
8.219.42.72,80,80,FALSE,SIN,Asia Pacific,Singapore,4,10.15
8.222.252.150,8443,8443,TRUE,SIN,Asia Pacific,Singapore,40,10.15
8.219.179.34,2096,2096,TRUE,SIN,Asia Pacific,Singapore,85,10.15
8.219.42.72,2083,2083,TRUE,SIN,Asia Pacific,Singapore,131,10.14
8.222.162.45,2052,2052,FALSE,SIN,Asia Pacific,Singapore,9,10.14
8.219.139.13,2052,2052,FALSE,SIN,Asia Pacific,Singapore,22,10.14
8.217.159.210,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,69,10.13
8.219.40.37,2086,2086,FALSE,SIN,Asia Pacific,Singapore,5,10.13
8.210.156.6,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,105,10.13
8.219.83.201,2083,2083,TRUE,SIN,Asia Pacific,Singapore,62,10.11
8.222.244.192,2053,2053,TRUE,SIN,Asia Pacific,Singapore,64,10.1
8.219.77.222,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,10.1
8.219.99.8,2082,2082,FALSE,SIN,Asia Pacific,Singapore,18,10.09
8.219.250.239,2096,2096,TRUE,SIN,Asia Pacific,Singapore,81,10.09
47.236.144.156,2052,2052,FALSE,SIN,Asia Pacific,Singapore,17,10.08
8.219.163.195,2083,2083,TRUE,SIN,Asia Pacific,Singapore,78,10.08
8.222.244.192,8880,8880,FALSE,SIN,Asia Pacific,Singapore,7,10.08
8.219.124.227,2053,2053,TRUE,SIN,Asia Pacific,Singapore,88,10.07
8.219.4.122,443,443,TRUE,SIN,Asia Pacific,Singapore,65,10.07
8.219.170.180,2086,2086,FALSE,SIN,Asia Pacific,Singapore,10,10.06
8.219.82.35,443,443,TRUE,SIN,Asia Pacific,Singapore,117,10.06
8.222.214.231,443,443,TRUE,SIN,Asia Pacific,Singapore,97,10.05
8.218.2.181,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,39,10.05
8.217.164.10,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,109,10.05
8.219.13.143,2083,2083,TRUE,SIN,Asia Pacific,Singapore,77,10.04
47.236.167.231,2082,2082,FALSE,SIN,Asia Pacific,Singapore,11,10.04
8.219.145.245,8880,8880,FALSE,SIN,Asia Pacific,Singapore,23,10.03
8.219.72.50,80,80,FALSE,SIN,Asia Pacific,Singapore,12,10.03
8.217.250.5,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,106,10.03
47.236.158.158,8443,8443,TRUE,SIN,Asia Pacific,Singapore,76,10.02
8.219.228.157,2083,2083,TRUE,SIN,Asia Pacific,Singapore,86,10.02
8.219.145.245,2087,2087,TRUE,SIN,Asia Pacific,Singapore,85,10.01
8.222.208.83,2053,2053,TRUE,SIN,Asia Pacific,Singapore,52,10.01
8.222.198.105,80,80,FALSE,SIN,Asia Pacific,Singapore,6,10
8.222.249.190,8880,8880,FALSE,SIN,Asia Pacific,Singapore,19,10
47.236.145.85,2096,2096,TRUE,SIN,Asia Pacific,Singapore,68,10
47.236.166.131,2096,2096,TRUE,SIN,Asia Pacific,Singapore,60,10
